company_id,name,name_ja,industry_code,isin,website
1,"KANEKO SEEDS CO., LTD.",カネコ種苗株式会社,50,,
2,SAKATA SEED CORPORATION,株式会社　サカタのタネ,50,,
3,"YUKIGUNI MAITAKE CO.,LTD.",株式会社雪国まいたけ,50,,
4,HOKUTO CORPORATION,ホクト株式会社,50,,
5,"AXYZ Co., Ltd",株式会社アクシーズ,50,,
6,"HOB Co.,Ltd.",株式会社ホーブ,50,,
7,"Sumitomo Forestry Co.,Ltd.",住友林業株式会社,2050,JP3409800004,
8,"KYOKUYO CO., LTD.",株式会社　極洋,50,,
9,"Nippon Suisan Kaisha, Ltd.",日本水産株式会社,50,JP3718800000,
10,,マルハニチロ株式会社,50,,
11,HOHSUI  CORPORATION,株式会社ホウスイ,6050,,
12,MITSUBISHI MATERIALS CORPORATION,三菱マテリアル株式会社,3500,JP3903000002,
13,"Sumitomo Metal Mining Co., Ltd.",住友金属鉱山株式会社,3500,JP3402600005,
14,"Mitsui Mining and Smelting Company, Limited",三井金属鉱業株式会社,3500,JP3888400003,
15,"NIHON SEIKO CO.,LTD.",日本精鉱株式会社,3500,,
16,"Chugai Mining Co.,Ltd.",中外鉱業株式会社,3500,,
17,"DOWA HOLDINGS CO.,LTD.",ＤＯＷＡホールディングス株式会社,3500,JP3638600001,
18,"NIPPON COKE & ENGINEERING CO., LTD.",日本コークス工業株式会社,3300,,
19,"FURUKAWA CO.,LTD.",古河機械金属株式会社,3500,,
20,"Joban Kosan Co.,Ltd.",常磐興産株式会社,9050,,
21,TAIHEIYO KOUHATSU INCORPORATED,太平洋興発株式会社,6050,,
22,"NITCHITSU CO.,LTD.",株式会社ニッチツ,3600,,
23,"Nittetsu Mining CO.,Ltd.",日鉄鉱業株式会社,1050,,
24,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",三井松島ホールディングス株式会社,1050,,
25,"Japan Petroleum Exploration Co., Ltd.",石油資源開発株式会社,1050,,
26,INPEX CORPORATION,国際石油開発帝石株式会社,1050,JP3294460005,
27,"DAIWA HOUSE INDUSTRY CO., LTD.",大和ハウス工業株式会社,2050,JP3505000004,
28,NIPPO CORPORATION,株式会社ＮＩＰＰＯ,2050,,
29,MAEDA CORPORATION,前田建設工業株式会社,2050,JP3861200008,
30,taisei corporation,大成建設株式会社,2050,JP3443600006,
